snr_db,method,mc_idx,seed,init_error,ber,rmse_tau_init,rmse_tau_final,improvement,success_rate
-5,matched_filter,0,950,0.3,0.32093915343284607,0.29559780583136175,0.13133820898551116,2.250661158619158,0.65234375
-5,adjoint_slice,0,950,0.3,0.3431132137775421,0.29559780583136175,0.29559780583136175,0.9999999996617025,0.2265625
-5,proposed_no_update,0,950,0.3,0.3429199457168579,0.29559780583136175,0.29559780583136175,0.9999999996617025,0.2265625
-5,proposed,0,950,0.3,0.3224792778491974,0.29559780583136175,0.14605539714518712,2.023874580513678,0.5546875
-5,oracle_sync,0,950,0.3,0.3173258602619171,0.29559780583136175,0.0,2955978058.313617,1.0
-5,matched_filter,1,1950,0.3,0.3214864134788513,0.3239449136748951,0.1750991544213702,1.8500655503471253,0.6015625
-5,adjoint_slice,1,1950,0.3,0.3467041254043579,0.3239449136748951,0.3239449136748951,0.9999999996913055,0.24609375
-5,proposed_no_update,1,1950,0.3,0.3469340205192566,0.3239449136748951,0.3239449136748951,0.9999999996913055,0.24609375
-5,proposed,1,1950,0.3,0.3249959349632263,0.3239449136748951,0.17986951781396773,1.8009995102663205,0.46484375
-5,oracle_sync,1,1950,0.3,0.3172953426837921,0.3239449136748951,0.0,3239449136.748951,1.0
-5,matched_filter,2,2950,0.3,0.3217976987361908,0.2886314961608856,0.10932942527360531,2.640016584506517,0.64453125
-5,adjoint_slice,2,2950,0.3,0.3428548276424408,0.2886314961608856,0.2886314961608856,0.9999999996535375,0.30078125
-5,proposed_no_update,2,2950,0.3,0.3430847227573395,0.2886314961608856,0.2886314961608856,0.9999999996535375,0.30078125
-5,proposed,2,2950,0.3,0.32400310039520264,0.2886314961608856,0.13570456373604806,2.1269107537871514,0.5703125
-5,oracle_sync,2,2950,0.3,0.3197571039199829,0.2886314961608856,0.0,2886314961.608856,1.0
-5,matched_filter,3,3950,0.3,0.3192891478538513,0.29378812361129686,0.13782956239650979,2.131532004382125,0.60546875
-5,adjoint_slice,3,3950,0.3,0.3392029106616974,0.29378812361129686,0.29378812361129686,0.9999999996596186,0.24609375
-5,proposed_no_update,3,3950,0.3,0.33914390206336975,0.29378812361129686,0.29378812361129686,0.9999999996596186,0.24609375
-5,proposed,3,3950,0.3,0.3199666440486908,0.29378812361129686,0.1399798099591315,2.0987892717327754,0.5625
-5,oracle_sync,3,3950,0.3,0.31559449434280396,0.29378812361129686,0.0,2937881236.1129684,1.0
-5,matched_filter,4,4950,0.3,0.32086387276649475,0.27708833280344936,0.11961218588747898,2.316556047495487,0.578125
-5,adjoint_slice,4,4950,0.3,0.33806154131889343,0.27708833280344936,0.27708833280344936,0.9999999996391042,0.22265625
-5,proposed_no_update,4,4950,0.3,0.3382365107536316,0.27708833280344936,0.27708833280344936,0.9999999996391042,0.22265625
-5,proposed,4,4950,0.3,0.32420045137405396,0.27708833280344936,0.16934859006152722,1.6362010013733113,0.55078125
-5,oracle_sync,4,4950,0.3,0.31798097491264343,0.27708833280344936,0.0,2770883328.0344934,1.0
-5,matched_filter,5,5950,0.3,0.3192504942417145,0.2746820026005391,0.1357800720546809,2.022992021153302,0.6171875
-5,adjoint_slice,5,5950,0.3,0.3375590145587921,0.2746820026005391,0.2746820026005391,0.9999999996359427,0.26953125
-5,proposed_no_update,5,5950,0.3,0.33754274249076843,0.2746820026005391,0.2746820026005391,0.9999999996359427,0.26953125
-5,proposed,5,5950,0.3,0.3200622797012329,0.2746820026005391,0.12831437743396337,2.140695437873545,0.65625
-5,oracle_sync,5,5950,0.3,0.31628623604774475,0.2746820026005391,0.0,2746820026.005391,1.0
-5,matched_filter,6,6950,0.3,0.3201497495174408,0.3018432601129016,0.20005934379128618,1.508768619559832,0.625
-5,adjoint_slice,6,6950,0.3,0.3418843746185303,0.3018432601129016,0.3018432601129016,0.9999999996687022,0.23828125
-5,proposed_no_update,6,6950,0.3,0.34203898906707764,0.3018432601129016,0.3018432601129016,0.9999999996687022,0.23828125
-5,proposed,6,6950,0.3,0.3214966058731079,0.3018432601129016,0.15299583875010628,1.9728854221233083,0.48046875
-5,oracle_sync,6,6950,0.3,0.3158833980560303,0.3018432601129016,0.0,3018432601.1290154,1.0
-5,matched_filter,7,7950,0.3,0.32135215401649475,0.2849730155457995,0.10719327376136747,2.6584971731934757,0.640625
-5,adjoint_slice,7,7950,0.3,0.3407043516635895,0.2849730155457995,0.2849730155457995,0.9999999996490896,0.30078125
-5,proposed_no_update,7,7950,0.3,0.3404296934604645,0.2849730155457995,0.2849730155457995,0.9999999996490896,0.30078125
-5,proposed,7,7950,0.3,0.32362470030784607,0.2849730155457995,0.14457033720474494,1.9711721011281504,0.60546875
-5,oracle_sync,7,7950,0.3,0.31845298409461975,0.2849730155457995,0.0,2849730155.457995,1.0
-5,matched_filter,8,8950,0.3,0.31928306818008423,0.31630668074597085,0.12454001860394436,2.539799528197381,0.62109375
-5,adjoint_slice,8,8950,0.3,0.3450724482536316,0.31630668074597085,0.31630668074597085,0.9999999996838511,0.24609375
-5,proposed_no_update,8,8950,0.3,0.34511110186576843,0.31630668074597085,0.31630668074597085,0.9999999996838511,0.24609375
-5,proposed,8,8950,0.3,0.32359009981155396,0.31630668074597085,0.17918702262642972,1.7652320794954324,0.515625
-5,oracle_sync,8,8950,0.3,0.3166341185569763,0.31630668074597085,0.0,3163066807.459708,1.0
-5,matched_filter,9,9950,0.3,0.32300010323524475,0.31434843759379033,0.19845657270843242,1.583965867924298,0.609375
-5,adjoint_slice,9,9950,0.3,0.3437337279319763,0.31434843759379033,0.31434843759379033,0.9999999996818817,0.26171875
-5,proposed_no_update,9,9950,0.3,0.34388023614883423,0.31434843759379033,0.31434843759379033,0.9999999996818817,0.26171875
-5,proposed,9,9950,0.3,0.32349449396133423,0.31434843759379033,0.16462061196994893,1.9095326741964764,0.5703125
-5,oracle_sync,9,9950,0.3,0.3176473081111908,0.31434843759379033,0.0,3143484375.9379034,1.0
0,matched_filter,0,1000,0.3,0.21145427227020264,0.2983291466607543,0.06514615137555034,4.579382509997059,0.87890625
0,adjoint_slice,0,1000,0.3,0.2501932978630066,0.2983291466607543,0.2983291466607543,0.9999999996647997,0.234375
0,proposed_no_update,0,1000,0.3,0.25035199522972107,0.2983291466607543,0.2983291466607543,0.9999999996647997,0.234375
0,proposed,0,1000,0.3,0.21206259727478027,0.2983291466607543,0.08082932518249611,3.6908528633401643,0.78515625
0,oracle_sync,0,1000,0.3,0.21011556684970856,0.2983291466607543,0.0,2983291466.6075425,1.0
0,matched_filter,1,2000,0.3,0.21619467437267303,0.30937910677802666,0.06976243940666199,4.434751837319026,0.8671875
0,adjoint_slice,1,2000,0.3,0.25543212890625,0.30937910677802666,0.30937910677802666,0.9999999996767719,0.2578125
0,proposed_no_update,1,2000,0.3,0.25477704405784607,0.30937910677802666,0.30937910677802666,0.9999999996767719,0.2578125
0,proposed,1,2000,0.3,0.21694336831569672,0.30937910677802666,0.0946523376473447,3.2685838949255723,0.81640625
0,oracle_sync,1,2000,0.3,0.21334229409694672,0.30937910677802666,0.0,3093791067.7802663,1.0
0,matched_filter,2,3000,0.3,0.21100668609142303,0.2891106370728558,0.07281361849355682,3.9705571932451496,0.8359375
0,adjoint_slice,2,3000,0.3,0.2457723170518875,0.2891106370728558,0.2891106370728558,0.9999999996541116,0.2734375
0,proposed_no_update,2,3000,0.3,0.24589641392230988,0.2891106370728558,0.2891106370728558,0.9999999996541116,0.2734375
0,proposed,2,3000,0.3,0.21360068023204803,0.2891106370728558,0.10923129268062906,2.646774836341828,0.83203125
0,oracle_sync,2,3000,0.3,0.2098083645105362,0.2891106370728558,0.0,2891106370.7285576,1.0
0,matched_filter,3,4000,0.3,0.22377727925777435,0.28605138623473214,0.06490568558864362,4.407185336688952,0.8515625
0,adjoint_slice,3,4000,0.3,0.25712689757347107,0.28605138623473214,0.28605138623473214,0.9999999996504124,0.2109375
0,proposed_no_update,3,4000,0.3,0.25803428888320923,0.28605138623473214,0.28605138623473214,0.9999999996504124,0.2109375
0,proposed,3,4000,0.3,0.2257222682237625,0.28605138623473214,0.07591911633130614,3.767843985560078,0.83984375
0,oracle_sync,3,4000,0.3,0.22389528155326843,0.28605138623473214,0.0,2860513862.3473215,1.0
0,matched_filter,4,5000,0.3,0.20976564288139343,0.3136009387427051,0.06713886194404547,4.670930206367987,0.8671875
0,adjoint_slice,4,5000,0.3,0.25354209542274475,0.3136009387427051,0.3136009387427051,0.9999999996811234,0.265625
0,proposed_no_update,4,5000,0.3,0.25363364815711975,0.3136009387427051,0.3136009387427051,0.9999999996811234,0.265625
0,proposed,4,5000,0.3,0.2112528532743454,0.3136009387427051,0.08442258835948452,3.7146567579268934,0.7890625
0,oracle_sync,4,5000,0.3,0.20850017666816711,0.3136009387427051,0.0,3136009387.427051,1.0
0,matched_filter,5,6000,0.3,0.21159669756889343,0.29324891167029393,0.06469941198167199,4.532481860887965,0.8828125
0,adjoint_slice,5,6000,0.3,0.24823813140392303,0.29324891167029393,0.29324891167029393,0.9999999996589928,0.28515625
0,proposed_no_update,5,6000,0.3,0.24837037920951843,0.29324891167029393,0.29324891167029393,0.9999999996589928,0.28515625
0,proposed,5,6000,0.3,0.21244508028030396,0.29324891167029393,0.07841623963856978,3.7396451633991914,0.86328125
0,oracle_sync,5,6000,0.3,0.21031291782855988,0.29324891167029393,0.0,2932489116.702939,1.0
0,matched_filter,6,7000,0.3,0.21361695230007172,0.3044155223475018,0.07126802224262924,4.271418124723443,0.8359375
0,adjoint_slice,6,7000,0.3,0.2520792782306671,0.3044155223475018,0.3044155223475018,0.9999999996715017,0.2109375
0,proposed_no_update,6,7000,0.3,0.2516540586948395,0.3044155223475018,0.3044155223475018,0.9999999996715017,0.2109375
0,proposed,6,7000,0.3,0.2164205014705658,0.3044155223475018,0.13893520859167652,2.191061036393283,0.81640625
0,oracle_sync,6,7000,0.3,0.21116945147514343,0.3044155223475018,0.0,3044155223.475018,1.0
0,matched_filter,7,8000,0.3,0.2085673063993454,0.305659828099226,0.06688692362257341,4.569799462851811,0.87109375
0,adjoint_slice,7,8000,0.3,0.25019532442092896,0.305659828099226,0.305659828099226,0.9999999996728389,0.265625
0,proposed_no_update,7,8000,0.3,0.2501363158226013,0.305659828099226,0.305659828099226,0.9999999996728389,0.265625
0,proposed,7,8000,0.3,0.20953573286533356,0.305659828099226,0.08162381885538976,3.744738141525572,0.82421875
0,oracle_sync,7,8000,0.3,0.20709839463233948,0.305659828099226,0.0,3056598280.9922595,1.0
0,matched_filter,8,9000,0.3,0.2154846340417862,0.3091101624682385,0.0649690846682889,4.7578038627244705,0.875
0,adjoint_slice,8,9000,0.3,0.25550132989883423,0.3091101624682385,0.3091101624682385,0.9999999996764907,0.25390625
0,proposed_no_update,8,9000,0.3,0.2560628354549408,0.3091101624682385,0.3091101624682385,0.9999999996764907,0.25390625
0,proposed,8,9000,0.3,0.21791179478168488,0.3091101624682385,0.1111310591710121,2.7814920913731287,0.84375
0,oracle_sync,8,9000,0.3,0.21523235738277435,0.3091101624682385,0.0,3091101624.682385,1.0
0,matched_filter,9,10000,0.3,0.2194315642118454,0.29138727840838224,0.06625381956826412,4.398044971103124,0.90625
0,adjoint_slice,9,10000,0.3,0.25537925958633423,0.29138727840838224,0.29138727840838224,0.9999999996568141,0.26171875
0,proposed_no_update,9,10000,0.3,0.25605878233909607,0.29138727840838224,0.29138727840838224,0.9999999996568141,0.26171875
0,proposed,9,10000,0.3,0.22207438945770264,0.29138727840838224,0.09037677431061893,3.2241389484038208,0.828125
0,oracle_sync,9,10000,0.3,0.21891683340072632,0.29138727840838224,0.0,2913872784.0838223,1.0
5,matched_filter,0,1050,0.3,0.15833130478858948,0.28715443559830306,0.04324730821465803,6.639822148213934,0.984375
5,adjoint_slice,0,1050,0.3,0.20088502764701843,0.28715443559830306,0.28715443559830306,0.9999999996517553,0.2578125
5,proposed_no_update,0,1050,0.3,0.19929403066635132,0.28715443559830306,0.28715443559830306,0.9999999996517553,0.2578125
5,proposed,0,1050,0.3,0.15603435039520264,0.28715443559830306,0.03590030467772929,7.9986628909189355,0.984375
5,oracle_sync,0,1050,0.3,0.15552368760108948,0.28715443559830306,0.0,2871544355.9830303,1.0
5,matched_filter,1,2050,0.3,0.11949259787797928,0.303643402680808,0.04612128689708693,6.5835847707369135,0.96875
5,adjoint_slice,1,2050,0.3,0.17591756582260132,0.303643402680808,0.303643402680808,0.9999999996706663,0.2734375
5,proposed_no_update,1,2050,0.3,0.17626139521598816,0.303643402680808,0.303643402680808,0.9999999996706663,0.2734375
5,proposed,1,2050,0.3,0.12140706926584244,0.303643402680808,0.09749062865011611,3.11459066962317,0.9453125
5,oracle_sync,1,2050,0.3,0.11894531548023224,0.303643402680808,0.0,3036434026.8080797,1.0
5,matched_filter,2,3050,0.3,0.12057902663946152,0.31516541658300745,0.04413536670570131,7.140881324731509,0.9921875
5,adjoint_slice,2,3050,0.3,0.18066000938415527,0.31516541658300745,0.31516541658300745,0.9999999996827063,0.25
5,proposed_no_update,2,3050,0.3,0.18061524629592896,0.31516541658300745,0.31516541658300745,0.9999999996827063,0.25
5,proposed,2,3050,0.3,0.12090658396482468,0.31516541658300745,0.05588900012224771,5.639131409216901,0.94921875
5,oracle_sync,2,3050,0.3,0.11920980364084244,0.31516541658300745,0.0,3151654165.8300743,1.0
5,matched_filter,3,4050,0.3,0.14861653745174408,0.29786715013557147,0.04469144761301106,6.664969818125922,0.9765625
5,adjoint_slice,3,4050,0.3,0.19936728477478027,0.29786715013557147,0.29786715013557147,0.9999999996642799,0.2890625
5,proposed_no_update,3,4050,0.3,0.20075073838233948,0.29786715013557147,0.29786715013557147,0.9999999996642799,0.2890625
5,proposed,3,4050,0.3,0.1517130583524704,0.29786715013557147,0.056503419084335316,5.271665935185573,0.97265625
5,oracle_sync,3,4050,0.3,0.1496277004480362,0.29786715013557147,0.0,2978671501.355715,1.0
5,matched_filter,4,5050,0.3,0.11961466819047928,0.30481610939315273,0.044419023689948926,6.862287447706721,0.96875
5,adjoint_slice,4,5050,0.3,0.17511597275733948,0.30481610939315273,0.30481610939315273,0.9999999996719333,0.2421875
5,proposed_no_update,4,5050,0.3,0.17499594390392303,0.30481610939315273,0.30481610939315273,0.9999999996719333,0.2421875
5,proposed,4,5050,0.3,0.11944987624883652,0.30481610939315273,0.04627965035799148,6.586396102317961,0.95703125
5,oracle_sync,4,5050,0.3,0.11846517771482468,0.30481610939315273,0.0,3048161093.931527,1.0
5,matched_filter,5,6050,0.3,0.13098552823066711,0.2990843069238652,0.04409642731620586,6.782506530539225,0.96875
5,adjoint_slice,5,6050,0.3,0.18320517241954803,0.2990843069238652,0.2990843069238652,0.9999999996656461,0.2890625
5,proposed_no_update,5,6050,0.3,0.18252971768379211,0.2990843069238652,0.2990843069238652,0.9999999996656461,0.2890625
5,proposed,5,6050,0.3,0.13031210005283356,0.2990843069238652,0.045960190660999614,6.507464437629332,0.95703125
5,oracle_sync,5,6050,0.3,0.12961630523204803,0.2990843069238652,0.0,2990843069.2386518,1.0
5,matched_filter,6,7050,0.3,0.11955363303422928,0.2885396436330411,0.04460364753294864,6.468969668298996,0.96484375
5,adjoint_slice,6,7050,0.3,0.17046713829040527,0.2885396436330411,0.2885396436330411,0.9999999996534271,0.2734375
5,proposed_no_update,6,7050,0.3,0.1705118864774704,0.2885396436330411,0.2885396436330411,0.9999999996534271,0.2734375
5,proposed,6,7050,0.3,0.11972453445196152,0.2885396436330411,0.04628765955790819,6.233619192793742,0.9609375
5,oracle_sync,6,7050,0.3,0.1184488981962204,0.2885396436330411,0.0,2885396436.3304105,1.0
5,matched_filter,7,8050,0.3,0.13759562373161316,0.296339164019762,0.04621171391952698,6.412641692851785,0.96875
5,adjoint_slice,7,8050,0.3,0.18723958730697632,0.296339164019762,0.296339164019762,0.9999999996625488,0.3203125
5,proposed_no_update,7,8050,0.3,0.18624065816402435,0.296339164019762,0.296339164019762,0.9999999996625488,0.3203125
5,proposed,7,8050,0.3,0.1362203061580658,0.296339164019762,0.04593606492868967,6.451122094038343,0.96484375
5,oracle_sync,7,8050,0.3,0.13502605259418488,0.296339164019762,0.0,2963391640.19762,1.0
5,matched_filter,8,9050,0.3,0.16670329868793488,0.30909354876878914,0.04409989452509002,7.008940755902275,0.95703125
5,adjoint_slice,8,9050,0.3,0.21443074941635132,0.30909354876878914,0.30909354876878914,0.9999999996764734,0.2578125
5,proposed_no_update,8,9050,0.3,0.21621094644069672,0.30909354876878914,0.30909354876878914,0.9999999996764734,0.2578125
5,proposed,8,9050,0.3,0.17114868760108948,0.30909354876878914,0.07679658326815357,4.024834637330569,0.953125
5,oracle_sync,8,9050,0.3,0.1684061735868454,0.30909354876878914,0.0,3090935487.6878915,1.0
5,matched_filter,9,10050,0.3,0.15712077915668488,0.29547463040933547,0.04550909412114677,6.492650215658146,0.96875
5,adjoint_slice,9,10050,0.3,0.20372925698757172,0.29547463040933547,0.29547463040933547,0.9999999996615614,0.26171875
5,proposed_no_update,9,10050,0.3,0.20217286050319672,0.29547463040933547,0.29547463040933547,0.9999999996615614,0.26171875
5,proposed,9,10050,0.3,0.15645548701286316,0.29547463040933547,0.05968554784333052,4.950522204971277,0.95703125
5,oracle_sync,9,10050,0.3,0.15436401963233948,0.29547463040933547,0.0,2954746304.0933547,1.0
10,matched_filter,0,1100,0.3,0.1001078337430954,0.30299382558865473,0.03515299440529222,8.619289191509404,0.99609375
10,adjoint_slice,0,1100,0.3,0.16008707880973816,0.30299382558865473,0.30299382558865473,0.9999999996699602,0.2734375
10,proposed_no_update,0,1100,0.3,0.15952353179454803,0.30299382558865473,0.30299382558865473,0.9999999996699602,0.2734375
10,proposed,0,1100,0.3,0.10069173574447632,0.30299382558865473,0.07385275314762685,4.102674744876773,0.9765625
10,oracle_sync,0,1100,0.3,0.09890341013669968,0.30299382558865473,0.0,3029938255.886547,1.0
10,matched_filter,1,2100,0.3,0.09667358547449112,0.3254719137568978,0.03649966526687405,8.917120485501378,0.98828125
10,adjoint_slice,1,2100,0.3,0.16776937246322632,0.3254719137568978,0.3254719137568978,0.9999999996927538,0.234375
10,proposed_no_update,1,2100,0.3,0.16803589463233948,0.3254719137568978,0.3254719137568978,0.9999999996927538,0.234375
10,proposed,1,2100,0.3,0.09806722402572632,0.3254719137568978,0.04651676895640372,6.996872748454394,0.97265625
10,oracle_sync,1,2100,0.3,0.09619548171758652,0.3254719137568978,0.0,3254719137.5689783,1.0
10,matched_filter,2,3100,0.3,0.09629517048597336,0.2768033384590786,0.03543174217196069,7.8122982588448675,0.98828125
10,adjoint_slice,2,3100,0.3,0.14742635190486908,0.2768033384590786,0.2768033384590786,0.9999999996387327,0.265625
10,proposed_no_update,2,3100,0.3,0.14781087636947632,0.2768033384590786,0.2768033384590786,0.9999999996387327,0.265625
10,proposed,2,3100,0.3,0.09650065749883652,0.2768033384590786,0.0371701673749372,7.446922014696848,0.984375
10,oracle_sync,2,3100,0.3,0.0959065780043602,0.2768033384590786,0.0,2768033384.590786,1.0
10,matched_filter,3,4100,0.3,0.10730591416358948,0.31421396073960034,0.039496366018609536,7.955515699748182,0.984375
10,adjoint_slice,3,4100,0.3,0.17214763164520264,0.31421396073960034,0.31421396073960034,0.9999999996817455,0.2734375
10,proposed_no_update,3,4100,0.3,0.17340496182441711,0.31421396073960034,0.31421396073960034,0.9999999996817455,0.2734375
10,proposed,3,4100,0.3,0.11020711809396744,0.31421396073960034,0.08917516995414153,3.523558862280044,0.96875
10,oracle_sync,3,4100,0.3,0.10831096023321152,0.31421396073960034,0.0,3142139607.3960032,1.0
10,matched_filter,4,5100,0.3,0.09292806684970856,0.3120561018763427,0.03817328709957914,8.174724388938218,0.98828125
10,adjoint_slice,4,5100,0.3,0.1578674465417862,0.3120561018763427,0.3120561018763427,0.9999999996795448,0.296875
10,proposed_no_update,4,5100,0.3,0.15828858315944672,0.3120561018763427,0.3120561018763427,0.9999999996795448,0.296875
10,proposed,4,5100,0.3,0.09588216990232468,0.3120561018763427,0.09911141208494985,3.1485385486589674,0.96875
